country,year,indicator,sub_indicator,sex,unit,value
Brunei,2004,crude_birth_ratio,,,,19.9
Brunei,2005,crude_birth_ratio,,,,18.7
Brunei,2006,crude_birth_ratio,,,,17.0
Brunei,2007,crude_birth_ratio,,,,16.2
Brunei,2008,crude_birth_ratio,,,,17.1
Brunei,2009,crude_birth_ratio,,,,17.4
Brunei,2010,crude_birth_ratio,,,,16.6
Brunei,2011,crude_birth_ratio,,,,17.1
Brunei,2012,crude_birth_ratio,,,,17.3
Brunei,2013,crude_birth_ratio,,,,16.4
Brunei,2014,crude_birth_ratio,,,,16.7
Cambodia,2004,crude_birth_ratio,,,,33.6
Cambodia,2005,crude_birth_ratio,,,,28.5
Cambodia,2006,crude_birth_ratio,,,,28.5
Cambodia,2007,crude_birth_ratio,,,,26.4
Cambodia,2008,crude_birth_ratio,,,,24.7
Cambodia,2009,crude_birth_ratio,,,,24.7
Cambodia,2010,crude_birth_ratio,,,,22.5
Cambodia,2012,crude_birth_ratio,,,,25.9
Cambodia,2013,crude_birth_ratio,,,,25.7
Indonesia,2004,crude_birth_ratio,,,,20.2
Indonesia,2005,crude_birth_ratio,,,,20.1
Indonesia,2006,crude_birth_ratio,,,,17.7
Indonesia,2007,crude_birth_ratio,,,,18.7
Indonesia,2008,crude_birth_ratio,,,,18.6
Indonesia,2009,crude_birth_ratio,,,,18.2
Indonesia,2010,crude_birth_ratio,,,,18.2
Indonesia,2012,crude_birth_ratio,,,,20.4
Indonesia,2013,crude_birth_ratio,,,,18.8
Laos,2004,crude_birth_ratio,,,,34.8
Laos,2005,crude_birth_ratio,,,,34.7
Laos,2006,crude_birth_ratio,,,,33.7
Laos,2007,crude_birth_ratio,,,,32.6
Laos,2008,crude_birth_ratio,,,,31.6
Laos,2009,crude_birth_ratio,,,,30.7
Laos,2010,crude_birth_ratio,,,,22.8
Laos,2012,crude_birth_ratio,,,,28.1
Laos,2013,crude_birth_ratio,,,,27.2
Malaysia,2004,crude_birth_ratio,,,,19.1
Malaysia,2005,crude_birth_ratio,,,,18.5
Malaysia,2006,crude_birth_ratio,,,,18.1
Malaysia,2007,crude_birth_ratio,,,,17.6
Malaysia,2008,crude_birth_ratio,,,,20.4
Malaysia,2009,crude_birth_ratio,,,,20.0
Malaysia,2010,crude_birth_ratio,,,,20.3
Malaysia,2011,crude_birth_ratio,,,,17.1
Malaysia,2012,crude_birth_ratio,,,,17.2
Myanmar,2004,crude_birth_ratio,,,,23.2
Myanmar,2005,crude_birth_ratio,,,,19.5
Myanmar,2006,crude_birth_ratio,,,,17.3
Myanmar,2007,crude_birth_ratio,,,,18.2
Myanmar,2008,crude_birth_ratio,,,,20.5
Myanmar,2009,crude_birth_ratio,,,,20.3
Myanmar,2010,crude_birth_ratio,,,,17.3
Myanmar,2012,crude_birth_ratio,,,,17.4
Myanmar,2013,crude_birth_ratio,,,,17.2
Philippines,2004,crude_birth_ratio,,,,24.6
Philippines,2005,crude_birth_ratio,,,,25.6
Philippines,2006,crude_birth_ratio,,,,24.1
Philippines,2007,crude_birth_ratio,,,,25.8
Philippines,2008,crude_birth_ratio,,,,24.7
Philippines,2009,crude_birth_ratio,,,,24.4
Philippines,2010,crude_birth_ratio,,,,25.1
Philippines,2012,crude_birth_ratio,,,,24.6
Philippines,2013,crude_birth_ratio,,,,24.4
Singapore,2004,crude_birth_ratio,,,,11.4
Singapore,2005,crude_birth_ratio,,,,10.4
Singapore,2006,crude_birth_ratio,,,,10.1
Singapore,2007,crude_birth_ratio,,,,10.3
Singapore,2008,crude_birth_ratio,,,,10.2
Singapore,2009,crude_birth_ratio,,,,9.9
Singapore,2010,crude_birth_ratio,,,,9.3
Singapore,2011,crude_birth_ratio,,,,9.5
Singapore,2012,crude_birth_ratio,,,,10.1
Singapore,2013,crude_birth_ratio,,,,9.3
Singapore,2014,crude_birth_ratio,,,,9.8
Thailand,2004,crude_birth_ratio,,,,14.5
Thailand,2005,crude_birth_ratio,,,,13.0
Thailand,2006,crude_birth_ratio,,,,12.9
Thailand,2007,crude_birth_ratio,,,,14.6
Thailand,2008,crude_birth_ratio,,,,14.5
Thailand,2009,crude_birth_ratio,,,,14.4
Thailand,2010,crude_birth_ratio,,,,12.1
Thailand,2011,crude_birth_ratio,,,,12.4
Thailand,2012,crude_birth_ratio,,,,12.5
Thailand,2013,crude_birth_ratio,,,,10.2
Vietnam,2004,crude_birth_ratio,,,,19.2
Vietnam,2005,crude_birth_ratio,,,,18.6
Vietnam,2006,crude_birth_ratio,,,,17.4
Vietnam,2007,crude_birth_ratio,,,,16.9
Vietnam,2008,crude_birth_ratio,,,,16.7
Vietnam,2009,crude_birth_ratio,,,,17.6
Vietnam,2010,crude_birth_ratio,,,,17.1
Vietnam,2011,crude_birth_ratio,,,,16.6
Vietnam,2012,crude_birth_ratio,,,,16.9
Vietnam,2013,crude_birth_ratio,,,,17.0
Vietnam,2014,crude_birth_ratio,,,,17.2
Brunei,2004,crude_death_ratio,,,,2.8
Brunei,2005,crude_death_ratio,,,,2.9
Brunei,2006,crude_death_ratio,,,,2.9
Brunei,2007,crude_death_ratio,,,,3.0
Brunei,2008,crude_death_ratio,,,,2.9
Brunei,2009,crude_death_ratio,,,,3.1
Brunei,2010,crude_death_ratio,,,,3.1
Brunei,2011,crude_death_ratio,,,,3.1
Brunei,2012,crude_death_ratio,,,,3.0
Brunei,2013,crude_death_ratio,,,,3.4
Brunei,2014,crude_death_ratio,,,,3.6
Cambodia,2004,crude_death_ratio,,,,10.0
Cambodia,2005,crude_death_ratio,,,,8.9
Cambodia,2006,crude_death_ratio,,,,8.8
Cambodia,2007,crude_death_ratio,,,,9.0
Cambodia,2008,crude_death_ratio,,,,8.3
Cambodia,2009,crude_death_ratio,,,,8.2
Cambodia,2010,crude_death_ratio,,,,8.0
Cambodia,2012,crude_death_ratio,,,,6.0
Cambodia,2013,crude_death_ratio,,,,6.0
Indonesia,2004,crude_death_ratio,,,,7.2
Indonesia,2005,crude_death_ratio,,,,7.3
Indonesia,2006,crude_death_ratio,,,,7.2
Indonesia,2007,crude_death_ratio,,,,6.3
Indonesia,2008,crude_death_ratio,,,,6.3
Indonesia,2009,crude_death_ratio,,,,6.3
Indonesia,2010,crude_death_ratio,,,,7.0
Indonesia,2012,crude_death_ratio,,,,6.3
Indonesia,2013,crude_death_ratio,,,,6.2
Laos,2004,crude_death_ratio,,,,12.2
Laos,2005,crude_death_ratio,,,,9.8
Laos,2006,crude_death_ratio,,,,9.4
Laos,2007,crude_death_ratio,,,,9.1
Laos,2008,crude_death_ratio,,,,8.7
Laos,2009,crude_death_ratio,,,,8.4
Laos,2010,crude_death_ratio,,,,6.3
Laos,2012,crude_death_ratio,,,,7.4
Laos,2013,crude_death_ratio,,,,7.0
Malaysia,2004,crude_death_ratio,,,,4.5
Malaysia,2005,crude_death_ratio,,,,4.5
Malaysia,2006,crude_death_ratio,,,,4.5
Malaysia,2007,crude_death_ratio,,,,4.4
Malaysia,2008,crude_death_ratio,,,,4.5
Malaysia,2009,crude_death_ratio,,,,4.5
Malaysia,2010,crude_death_ratio,,,,4.7
Malaysia,2011,crude_death_ratio,,,,4.6
Malaysia,2012,crude_death_ratio,,,,4.7
Malaysia,2013,crude_death_ratio,,,,4.7
Myanmar,2004,crude_death_ratio,,,,11.2
Myanmar,2005,crude_death_ratio,,,,9.5
Myanmar,2006,crude_death_ratio,,,,9.4
Myanmar,2007,crude_death_ratio,,,,9.7
Myanmar,2008,crude_death_ratio,,,,9.8
Myanmar,2009,crude_death_ratio,,,,9.6
Myanmar,2010,crude_death_ratio,,,,8.6
Myanmar,2012,crude_death_ratio,,,,8.5
Myanmar,2013,crude_death_ratio,,,,8.5
Philippines,2004,crude_death_ratio,,,,5.1
Philippines,2005,crude_death_ratio,,,,5.1
Philippines,2006,crude_death_ratio,,,,5.6
